"Idx","SeqId","AltSeqId","TId","Layer","Trace","Direction","Sub","Module","Op","Kernel","Params","Sil(ns)","TC","Device","Stream","Grid","Block","FLOPs","Bytes"
"64","83","-","27392","-","train.py:625,train.py:557,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:356,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:235,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:170","fprop","62","Tensor","__add__","elementwise_kernel","T=[(1,)],fp32,","2304","-","0","7","1,1,1","128,1,1","1.0","8"
"65","83","-","27392","-","train.py:625,train.py:557,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:356,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:235,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:170","fprop","63","Tensor","__add__","elementwise_kernel","T=[(1,)],fp32,","2432","-","0","7","1,1,1","128,1,1","1.0","8"
"66","83","-","27392","-","train.py:625,train.py:557,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:356,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:235,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:170","fprop","64","Tensor","__add__","elementwise_kernel","T=[(1,)],fp32,","2304","-","0","7","1,1,1","128,1,1","1.0","8"
"67","83","-","27392","-","train.py:625,train.py:557,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:356,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:235,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:170","fprop","65","Tensor","__add__","elementwise_kernel","T=[(1,)],fp32,","7584","-","0","7","1,1,1","128,1,1","1.0","8"
"68","83","-","27392","-","train.py:625,train.py:557,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:356,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:235,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:170","fprop","66","Tensor","__add__","elementwise_kernel","T=[(1,)],fp32,","2304","-","0","7","1,1,1","128,1,1","1.0","8"
"69","83","-","27392","-","train.py:625,train.py:557,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:356,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:235,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:170","fprop","67","Tensor","__add__","elementwise_kernel","T=[(1,)],fp32,","2272","-","0","7","1,1,1","128,1,1","1.0","8"
"70","83","-","27392","-","train.py:625,train.py:557,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:356,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:235,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:170","fprop","68","Tensor","__add__","elementwise_kernel","T=[(1,)],fp32,","2464","-","0","7","1,1,1","128,1,1","1.0","8"
"71","83","-","27392","-","train.py:625,train.py:557,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:356,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:235,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:170","fprop","69","Tensor","__add__","elementwise_kernel","T=[(1,)],fp32,","2272","-","0","7","1,1,1","128,1,1","1.0","8"
"72","83","-","27392","-","train.py:625,train.py:557,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:356,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:235,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:170","fprop","70","Tensor","__add__","elementwise_kernel","T=[(1,)],fp32,","1760","-","0","7","1,1,1","128,1,1","1.0","8"
"73","83","-","27392","-","train.py:625,train.py:557,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:356,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:235,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:170","fprop","71","Tensor","__add__","elementwise_kernel","T=[(1,)],fp32,","2272","-","0","7","1,1,1","128,1,1","1.0","8"
"74","83","-","27392","-","train.py:625,train.py:557,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:356,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:235,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:170","fprop","72","Tensor","__add__","elementwise_kernel","T=[(1,)],fp32,","2304","-","0","7","1,1,1","128,1,1","1.0","8"
